gene_id	gene_symbol	gnomad_score	expression_score	tau_restricted_panel_specificity	tau_specificity	annotation_score	localization_score	compartment_cilia	compartment_centrosome	compartment_basal_body	compartment_transition_zone	compartment_stereocilia	in_cilia_compendium	in_centrosome_compendium	animal_model_score	literature_score	evidence_count	available_weight	weighted_sum	composite_score	quality_flag	gnomad_contribution	expression_contribution	annotation_contribution	localization_contribution	animal_model_contribution	literature_contribution	has_direct_localization_signal	has_cilia_signal	has_cilia_signal_semantics_version	confidence_tier	cellxgene_photoreceptor_expr	cellxgene_hair_cell_expr	hpa_retina_tpm	compartment_cilia_right	compartment_centrosome_right	compartment_basal_body_right	compartment_transition_zone_right	compartment_stereocilia_right	in_cilia_proteomics	in_centrosome_proteomics	cochlear_hair_cell_expression	hair_cell_sample_count	hair_cell_developmental_consistency	photoreceptor_q75	hair_cell_q75	retina_hair_concordant_q75	retina_concordant_q75	direct_protein	expression_or_protein	expression_and_protein
ENSG00000197102	DYNC1H1	0.9657988769780499	0.7747582373638383	0.6164574859577765	0.6164574859577765	0.844709118981817	1.0	false	true	false	false	false	false	false	0.17048086602676976	0.9980716109866056	6	1.0	0.8001006622676565	0.8001006622676565	sufficient_evidence	0.19315977539561	0.15495164747276768	0.12670636784727254	0.15	0.025572129904015462	0.14971074164799084	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.7248845100402832			false	true	false	false	false	false	false	0.18333142307704234	2	0.6285831471414459	false	false	false		true	true	false
ENSG00000112715	VEGFA	0.9509954058192954	0.6576946909267569	0.7667972812037065	0.7667972812037065	0.9550995329384255		false	false	false	false	false	false	false	0.42754186862697013	0.9961953405951947	5	0.85	0.678563530673299	0.7983100360862342	sufficient_evidence	0.19019908116385909	0.1315389381853514	0.1432649299407638		0.06413128029404552	0.14942930108927918	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.21779873967170715			false	false	false	false	false	false	false	-0.2051201808398018	2	0.7714973203221147	false	false	false		false	false	false
ENSG00000162738	VANGL2	0.8024502297090352	0.7780728185890711	0.6604784870957147	0.6604784870957147	0.813507510149206		false	false	false	false	false	false	false	0.6398086630456119	0.9393860426330328	5	0.85	0.6750099420337989	0.7941293435691752	sufficient_evidence	0.16049004594180705	0.15561456371781424	0.12202612652238089		0.09597129945684178	0.14090790639495493	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.010100315324962139			false	false	false	false	false	false	false	0.3989137671694755	2	0.7111435185076473	false	false	false		false	false	false
ENSG00000144635	DYNC1LI1	0.8356304236855538	0.6691503483495775	0.4569414095504472	0.4569414095504472	0.8224201603463086	1.0	false	true	false	false	false	false	false	0.4467999638758269	0.9900974618231094	6	1.0	0.789853792313813	0.789853792313813	sufficient_evidence	0.16712608473711077	0.1338300696699155	0.12336302405194628	0.15	0.06701999458137403	0.1485146192734664	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.41965898871421814			false	true	false	false	false	false	false	0.8851644494138085	2	0.8022523177154434	false	true	false		true	true	false
ENSG00000163399	ATP1A1	0.9367023991832567	0.850309156166065	0.6651528985855479	0.6651528985855479	0.8887318268552236		false	false	false	false	false	false	false	0.2250167460284938	0.9735237400323136	5	0.85	0.670493158007269	0.7888154800085518	sufficient_evidence	0.18734047983665136	0.170061831233213	0.13330977402828353		0.03375251190427407	0.14602856100484704	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.6080746054649353			false	false	false	false	false	false	false	1.0207309823164175	2	0.7182867415768825	false	true	false		false	false	false
ENSG00000143153	ATP1B1	0.9234303215926493	0.8335911929456024	0.7086051637130683	0.7086051637130683	0.8925912226494417		false	false	false	false	false	false	false	0.33509997290687016	0.8805180591025173	5	0.85	0.6676356911064747	0.7854537542429114	sufficient_evidence	0.18468606431852985	0.1667182385891205	0.13388868339741625		0.050264995936030524	0.1320777088653776	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.19979031383991241			false	false	false	false	false	false	false	2.310259401230235	2	0.6548712182823555	false	true	false		false	false	false
ENSG00000162992	NEUROD1	0.6687085247575293	0.9920721062241582	0.9980641611199301	0.9980641611199301	0.8713091737747001		false	false	false	false	false	false	false	0.43639964424617345	0.8365560014593214	5	0.85	0.6537958491183666	0.7691715871980784	sufficient_evidence	0.13374170495150586	0.19841442124483166	0.13069637606620502		0.06545994663692602	0.1254834002188982	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.8483267426490784			false	false	false	false	false	false	false	-0.0244214556450025	1	1.0	true	false	false		false	true	false
ENSG00000135541	AHI1	0.5691679428279734	0.7551324187096189	0.5550753818199676	0.5550753818199676	0.8009025018034261	1.0	false	true	false	false	false	true	false	0.5584999548447835	0.9894720383593057	6	1.0	0.7671912465586458	0.7671912465586458	sufficient_evidence	0.1138335885655947	0.1510264837419238	0.12013537527051392	0.15	0.08377499322671753	0.14842080575389585	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	8.1488676071167			false	true	false	false	false	true	false	0.2103558824856665	2	0.6284637233468592	true	false	false		true	true	true
ENSG00000164588	HCN1	0.8519652884124553	0.9908897627863708	0.9869891058973248	0.9869891058973248	0.877138349672627		false	false	false	false	false	false	false	0.15427797311454258	0.828920623338719	5	0.85	0.6476215521586485	0.7619077084219394	sufficient_evidence	0.17039305768249108	0.19817795255727416	0.13157075245089406		0.023141695967181387	0.12433809350080784	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	11.459458351135254			false	false	false	false	false	false	false	1.1285753932716456	2	0.10885785177888962	true	true	true		false	true	false
ENSG00000007168	PAFAH1B1	0.9688616641143439	0.6014940382279037	0.22354798076189025	0.22354798076189025	0.9134619864849283	1.0	false	true	false	false	false	false	false	0.047871424700981456	0.9880648355657476	6	1.0	0.7564808774811982	0.7564808774811982	sufficient_evidence	0.1937723328228688	0.12029880764558075	0.13701929797273923	0.15	0.007180713705147218	0.14820972533486215	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.7558475136756897			false	true	false	false	false	false	false	0.46569534946207797	2	0.9188924782704185	false	false	false		true	true	false
