gene_symbol	GSM4037819_hair_cell_mean	GSM4037820_hair_cell_mean	cochlear_hair_cell_expression	hair_cell_sample_count	hair_cell_developmental_consistency
RP11-34P13.7		-0.0404365339858479	-0.0404365339858479	1	1.0
FO538757.2	0.307022110709386	-0.0878608967131515	0.10958060699811725	2	0.6441150783169667
AP006222.2	-0.0979438026320848	0.0260262657151308	-0.035958768458476995	2	0.8803330092647558
RP4-669L17.10	-0.048052935931675	-0.0762745276292506	-0.062163731780462805	2	0.973430092881943
RP5-857K21.4	-0.0409537363299928	-0.023269931083727	-0.0321118337068599	2	0.9828663865012051
RP11-206L10.9	0.374554678805925	0.181373770829312	0.2779642248176185	2	0.8488369985441632
FAM87B	-0.0382883924799209	-0.0431973802985582	-0.04074288638923955	2	0.995283188688737
LINC00115	0.313558971782142	-0.0770471885615062	0.11825589161031788	2	0.6507005567561419
FAM41C	-0.116851857114559	-0.0853029568289532	-0.1010774069717561	2	0.9713472458104709
RP11-54O7.16		-0.0171753917934233	-0.0171753917934233	1	1.0
RP11-54O7.1	-0.0993817100001001	-0.115769972231854	-0.10757584111597704	2	0.9852034852843654
RP11-54O7.2	-0.0341722651581013	-0.0345366769734981	-0.0343544710657997	2	0.9996476915548871
RP11-54O7.3	-0.0605607399195732	0.153774577379122	0.046606918729774405	2	0.7952093441548949
SAMD11	0.558039711455078	1.51701257371225	1.037526142583664	2	0.529344511358683
NOC2L	0.774564423137221	0.248005280495791	0.511284851816506	2	0.6515818033850295
KLHL17	0.0698029999333308	-0.123945045073954	-0.027071022570311597	2	0.8113586687292396
PLEKHN1	0.0922867181886443	-0.0165329837078965	0.037876867240373896	2	0.8951516260441539
RP11-54O7.17	-0.13295806583347	-0.0514245795241751	-0.09219132267882255	2	0.9253487144456364
HES4	-0.0485852305361578	-0.199081192616894	-0.1238332115765259	2	0.8660869241712311
ISG15	-0.260372598074937	-0.659449061556668	-0.45991082981580256	2	0.726643261128433
AGRN	-0.360364585383928	-0.3014484653358	-0.330906525359864	2	0.9557323381278052
C1orf159	0.0818694746299895	-0.0540591944686442	0.013905140080672652	2	0.8659355163266867
RP11-465B22.8	0.404196204040713	0.368954635852522	0.3865754199466175	2	0.9745837350920675
TTLL10	0.794037347993594	1.02832033622765	0.9111788421106221	2	0.8774144088078517
TNFRSF18	0.132365074702877	0.122173818141242	0.1272694464220595	2	0.9909593428669765
TNFRSF4	-0.139784178666302	-0.253695296305799	-0.1967397374860505	2	0.9048154631525931
SDF4	-0.316791590907123	-0.38681931419313	-0.3518054525501265	2	0.9481968924197617
B3GALT6	0.0639297338156806	0.1669326228661	0.1154311783408903	2	0.9076564372141476
FAM132A	-0.10594445344354	-0.0814921619184365	-0.09371830768098825	2	0.977642971363486
UBE2J2	0.320841830604443	0.017215522327304	0.1690286764658735	2	0.7402747131960518
RP5-902P8.10	-0.0312434882315603	-0.0300310999726808	-0.03063729410212055	2	0.998823651864902
SCNN1D	-0.153477691121999	-0.0919170615171781	-0.12269737631958855	2	0.9451672098792747
ACAP3	0.17125010426441	0.06754026213234	0.119395183198375	2	0.9073518953014014
PUSL1	0.347143503448335	-0.107285214967563	0.119929144240386	2	0.594234402459342
CPSF3L	0.179909393625883	-0.225783685511224	-0.02293714594267049	2	0.6034037078952224
CPTP	0.390021719780768	0.342466169443383	0.3662439446120755	2	0.9651924895807039
TAS1R3	-0.0541996901526431	-0.0246810489263587	-0.0394403695395009	2	0.971601409670704
DVL1	0.259817232923806	0.0261909718889855	0.14300410240639574	2	0.7956033048849421
MXRA8	-0.669848928464922	-0.54232676265508	-0.606087845560001	2	0.9206007528402791
AURKAIP1	0.30302792128373	0.368068184444526	0.33554805286412803	2	0.9513006941073255
CCNL2	0.759221882675406	0.195778096773729	0.47749998972456753	2	0.6186505652655111
MRPL20	0.665228384167132	0.411424404957996	0.538326394562564	2	0.8350129204658759
RP4-758J18.13	-0.0303409285799359	0.161555691957715	0.06560738168888955	2	0.8199180825554038
ANKRD65	-0.376376476208936	-0.168525100088093	-0.2724507881485145	2	0.8366527192589679
RP4-758J18.10		-0.0282936999894837	-0.0282936999894837	1	1.0
VWA1	-0.286200013343818	-0.534637695629271	-0.41041885448654447	2	0.8238553877132511
ATAD3C	-0.114190142622104	-0.1497084250019	-0.131949283812002	2	0.9686220196542878
ATAD3B	0.275307329841283	0.0603232279804207	0.16781527891085185	2	0.815909154689803
ATAD3A	-0.0733305180614031	-0.141330772137141	-0.10733064509927204	2	0.9385908315852293
TMEM240	-0.0951782935832001	0.136661124824415	0.020741415620607453	2	0.7728715472305417
SSU72	0.26382077991737	0.0555242532377766	0.1596725165775733	2	0.8203833205478402
RP5-832C2.5	0.298164674406179	-0.172432561363031	0.062866056521574	2	0.5572374967836242
C1orf233	-0.174933751093409	-0.166470897257004	-0.1707023241752065	2	0.9927711309171892
RP11-345P4.9	0.666308237587623	0.367730081344121	0.517019159465872	2	0.8031810248536159
MIB2	0.722445544192928	0.196941541370865	0.45969354278189645	2	0.6399901846379665
MMP23B	0.765330664957928	0.666013816382124	0.715672240670026	2	0.9421119918936163
CDK11B	0.25062915889026	-0.0595222608573946	0.0955534490164327	2	0.7168997824559791
RP11-345P4.10		-0.0340304703649395	-0.0340304703649395	1	1.0
SLC35E2B	-0.00280950232934507	-0.0345863162966272	-0.018697909312986136	2	0.9688064403816117
RP11-345P4.7		-0.0311020215223207	-0.0311020215223207	1	1.0
CDK11A	0.102656406900939	0.105430184199068	0.1040432955500035	2	0.9974876190912901
SLC35E2	0.248863031340819	0.22131034560824	0.23508668847452951	2	0.9776916988987958
NADK	-0.0339472779743957	0.197801883984288	0.08192730300494615	2	0.7857996916104961
GNB1	-0.0777062787780304	0.402290844203779	0.1622922827128743	2	0.5870254581218923
RP1-140A9.1	-0.0487434094328522	-0.0550209789797648	-0.051882194206308505	2	0.9940320602616063
TMEM52	-0.165188242087274	-0.107199896953808	-0.136194069520541	2	0.9489626405478984
CFAP74	0.772114968069949	0.383581329594601	0.577848148832275	2	0.7537572682371927
RP11-547D24.1		-0.0158681146565076	-0.0158681146565076	1	1.0
GABRD	-0.0593427563883938	-0.0626548858063515	-0.06099882109737265	2	0.9968782911421786
PRKCZ	1.25894116492295	1.87295876205778	1.565949963490365	2	0.7607055453647253
RP5-892K4.1	0.415155028971521	-0.0360608519407893	0.18954708851536586	2	0.6206826234382551
RP11-181G12.2	-0.0935364949972996	-0.055306157923963	-0.07442132646063129	2	0.9644177417817317
FAAP20	-0.228367206562653	-0.159071872350284	-0.1937195394564685	2	0.9419500712504707
SKI	-0.294873334326874	-0.243636980678377	-0.2692551575026255	2	0.9596327394490882
MORN1	0.417311862126312	0.0915108615709123	0.2544113618486121	2	0.7402757895342479
RER1	0.035959093804243	-0.059847988809622	-0.011944447502689498	2	0.905323772613901
PEX10	-0.0737650839019609	-0.130239936373804	-0.10200251013788245	2	0.9487525192072593
PANK4	-0.016212552056957	0.0311541779815604	0.0074708129623017	2	0.9529845138647309
HES5	0.285151581928414	-0.0225648570845741	0.13129336242191994	2	0.7279958945801503
