gene_id	gene_symbol_old	gene_symbol_new	status	old_high_rank	new_high_rank	rank_delta_new_minus_old	old_composite_score	new_composite_score
ENSG00000001617		SEMA3F	new_only		17			0.741347973266881
ENSG00000007168	PAFAH1B1	PAFAH1B1	retained	11	10	-1	0.7594610909105458	0.7564808774811982
ENSG00000007372	PAX6	PAX6	retained	36	42	6	0.7230866483944953	0.7130300953147943
ENSG00000014641		MDH1	new_only		47			0.7098138031524641
ENSG00000018625	ATP1A2	ATP1A2	retained	52	46	-6	0.7115487170536594	0.7101553547499788
ENSG00000049759	NEDD4L	NEDD4L	retained	13	15	2	0.750958689154561	0.7439019768989714
ENSG00000065243	PKN2	PKN2	retained	29	53	24	0.7292149402244248	0.7056292460399796
ENSG00000066468	FGFR2	FGFR2	retained	39	40	1	0.7209245173602269	0.7153996744195403
ENSG00000068796	KIF2A	KIF2A	retained	51	32	-19	0.7143500320501119	0.7184594922598494
ENSG00000070018	LRP6		old_only	59			0.7036220970548882	
ENSG00000070367	EXOC5		old_only	65			0.7015097650054263	
ENSG00000070831		CDC42	new_only		52			0.706285499363905
ENSG00000072832	CRMP1	CRMP1	retained	26	20	-6	0.7340408200607019	0.733632455120873
ENSG00000077782	FGFR1	FGFR1	retained	56	55	-1	0.7092566798484954	0.7052907048029408
ENSG00000080493	SLC4A4	SLC4A4	retained	49	48	-1	0.7146892598376917	0.7091459081059367
ENSG00000087586	AURKA		old_only	47			0.7158196036891318	
ENSG00000094631	HDAC6	HDAC6	retained	21	34	13	0.7404277844230014	0.7173617665807616
ENSG00000095637		SORBS1	new_only		51			0.7079716723892422
ENSG00000100503	NIN		old_only	38			0.7216272020408172	
ENSG00000100804	PSMB5	PSMB5	retained	17	45	28	0.7472922124328247	0.7114523451482343
ENSG00000100997	ABHD12	ABHD12	retained	42	37	-5	0.7195496916278703	0.716227373740005
ENSG00000104888	SLC17A7	SLC17A7	retained	60	58	-2	0.7035744711389212	0.7028082679407452
ENSG00000107643	MAPK8	MAPK8	retained	23	12	-11	0.7384319057168292	0.7483355509148518
ENSG00000107736	CDH23	CDH23	retained	54	44	-10	0.7104902051629891	0.712616911391397
ENSG00000107957	SH3PXD2A		old_only	62			0.702771648186607	
