layer,delta,top_n,spearman_rho,top_n_overlap,top_n_jaccard
gnomad,-0.1,100,0.7752,84,0.724
gnomad,-0.05,100,0.931,91,0.835
gnomad,0.05,100,0.9447,94,0.887
gnomad,0.1,100,0.9045,85,0.739
expression,-0.1,100,0.6969,78,0.639
expression,-0.05,100,0.9046,87,0.77
expression,0.05,100,0.8934,89,0.802
expression,0.1,100,0.7878,81,0.681
annotation,-0.1,100,0.901,88,0.786
annotation,-0.05,100,0.966,94,0.887
annotation,0.05,100,0.977,97,0.942
annotation,0.1,100,0.9622,92,0.852
localization,-0.1,100,0.717,59,0.418
localization,-0.05,100,0.9147,87,0.77
localization,0.05,100,0.9402,93,0.869
localization,0.1,100,0.8695,88,0.786
animal_model,-0.1,100,0.607,78,0.639
animal_model,-0.05,100,0.8897,87,0.77
animal_model,0.05,100,0.8299,86,0.754
animal_model,0.1,100,0.6051,76,0.613
literature,-0.1,100,0.7386,78,0.639
literature,-0.05,100,0.8867,92,0.852
literature,0.05,100,0.9463,91,0.835
literature,0.1,100,0.9265,84,0.724
