gene_symbol	n_ensembl_ids	retained_gene_id	selection_reason	all_ensembl_ids
AAAS	2	ENSG00000094914	MANE Select canonical	ENSG00000094914; ENSG00000291836
AADACL2	2	ENSG00000197953	MANE Select canonical	ENSG00000197953; ENSG00000261846
AATF	2	ENSG00000275700	MANE Select canonical	ENSG00000275700; ENSG00000276072
ABCB11	2	ENSG00000073734	MANE Select canonical	ENSG00000073734; ENSG00000276582
ABCC1	2	ENSG00000103222	MANE Select canonical	ENSG00000103222; ENSG00000278183
ABCC6	2	ENSG00000091262	MANE Select canonical	ENSG00000091262; ENSG00000275331
ABCF1	7	ENSG00000204574	MANE Select canonical	ENSG00000204574; ENSG00000206490; ENSG00000225989; ENSG00000231129; ENSG00000232169; ENSG00000236149; ENSG00000236342
ABHD16A	7	ENSG00000204427	MANE Select canonical	ENSG00000204427; ENSG00000206403; ENSG00000224552; ENSG00000230475; ENSG00000231488; ENSG00000235676; ENSG00000236063
ABO	2	ENSG00000175164	gnomAD-recognized or lowest Ensembl ID	ENSG00000175164; ENSG00000281879
ABR	3	ENSG00000159842	MANE Select canonical	ENSG00000159842; ENSG00000276016; ENSG00000278741
ABT1	2	ENSG00000146109	MANE Select canonical	ENSG00000146109; ENSG00000292169
ACACA	2	ENSG00000278540	MANE Select canonical	ENSG00000275176; ENSG00000278540
ACAP1	2	ENSG00000072818	MANE Select canonical	ENSG00000072818; ENSG00000288169
ACR	2	ENSG00000100312	MANE Select canonical	ENSG00000100312; ENSG00000291368
ACTG1	2	ENSG00000184009	MANE Select canonical	ENSG00000184009; ENSG00000291420
ACTN4	2	ENSG00000130402	MANE Select canonical	ENSG00000130402; ENSG00000282844
ACTR1B	2	ENSG00000115073	MANE Select canonical	ENSG00000115073; ENSG00000291597
ACTR3C	2	ENSG00000106526	MANE Select canonical	ENSG00000106526; ENSG00000303938
ADAM18	2	ENSG00000168619	MANE Select canonical	ENSG00000168619; ENSG00000278548
ADAM2	2	ENSG00000104755	MANE Select canonical	ENSG00000104755; ENSG00000276286
ADAM32	2	ENSG00000197140	MANE Select canonical	ENSG00000197140; ENSG00000275594
ADAM9	2	ENSG00000168615	MANE Select canonical	ENSG00000168615; ENSG00000282230
ADAMTS12	2	ENSG00000151388	MANE Select canonical	ENSG00000151388; ENSG00000281690
ADAMTS13	2	ENSG00000160323	MANE Select canonical	ENSG00000160323; ENSG00000281244
ADAMTSL3	2	ENSG00000156218	MANE Select canonical	ENSG00000156218; ENSG00000291606
ADCK5	2	ENSG00000173137	MANE Select canonical	ENSG00000173137; ENSG00000285451
ADCY4	2	ENSG00000129467	MANE Select canonical	ENSG00000129467; ENSG00000284814
ADGRL1	2	ENSG00000072071	MANE Select canonical	ENSG00000072071; ENSG00000288324
ADI1	2	ENSG00000182551	MANE Select canonical	ENSG00000182551; ENSG00000280830
ADIPOR2	2	ENSG00000006831	MANE Select canonical	ENSG00000006831; ENSG00000285070
AGBL2	2	ENSG00000165923	MANE Select canonical	ENSG00000165923; ENSG00000285501
AGER	7	ENSG00000204305	MANE Select canonical	ENSG00000204305; ENSG00000206320; ENSG00000229058; ENSG00000230514; ENSG00000231268; ENSG00000234729; ENSG00000237405
AGK	2	ENSG00000006530	MANE Select canonical	ENSG00000006530; ENSG00000262327
AGPAT1	7	ENSG00000204310	MANE Select canonical	ENSG00000204310; ENSG00000206324; ENSG00000226467; ENSG00000227642; ENSG00000228892; ENSG00000235758; ENSG00000236873
AGPAT5	2	ENSG00000155189	MANE Select canonical	ENSG00000155189; ENSG00000284980
AIF1	6	ENSG00000204472	MANE Select canonical	ENSG00000204472; ENSG00000206428; ENSG00000234836; ENSG00000235588; ENSG00000235985; ENSG00000237727
AK6	2	ENSG00000085231	MANE Select canonical	ENSG00000085231; ENSG00000279247
AKAP17A	2	ENSG00000197976	MANE Select canonical	ENSG00000197976; ENSG00000292343
AKT3	2	ENSG00000117020	MANE Select canonical	ENSG00000117020; ENSG00000275199
ALOX5	2	ENSG00000012779	MANE Select canonical	ENSG00000012779; ENSG00000275565
ANKRD36	2	ENSG00000135976	MANE Select canonical	ENSG00000135976; ENSG00000291582
ANKRD36B	2	ENSG00000196912	MANE Select canonical	ENSG00000196912; ENSG00000291600
ANKRD45	2	ENSG00000183831	MANE Select canonical	ENSG00000183831; ENSG00000285777
ANKS4B	2	ENSG00000175311	MANE Select canonical	ENSG00000175311; ENSG00000284290
ANO4	2	ENSG00000151572	MANE Select canonical	ENSG00000151572; ENSG00000262139
ANXA8	3	ENSG00000265190	MANE Select canonical	ENSG00000265190; ENSG00000276850; ENSG00000288244
AP2A2	3	ENSG00000183020	MANE Select canonical	ENSG00000183020; ENSG00000280759; ENSG00000281385
APBA1	2	ENSG00000107282	MANE Select canonical	ENSG00000107282; ENSG00000276497
APBA2	2	ENSG00000034053	MANE Select canonical	ENSG00000034053; ENSG00000276495
APEX1	2	ENSG00000100823	MANE Select canonical	ENSG00000100823; ENSG00000291796
APOB	2	ENSG00000084674	MANE Select canonical	ENSG00000084674; ENSG00000291544
APOBEC3A	2	ENSG00000128383	MANE Select canonical	ENSG00000128383; ENSG00000262156
APOL5	2	ENSG00000128313	MANE Select canonical	ENSG00000128313; ENSG00000277390
APOM	7	ENSG00000204444	MANE Select canonical	ENSG00000204444; ENSG00000206409; ENSG00000224290; ENSG00000226215; ENSG00000227567; ENSG00000231974; ENSG00000235754
