gene_id	gene_symbol	gnomad_score	expression_score	tau_restricted_panel_specificity	tau_specificity	annotation_score	localization_score	compartment_cilia	compartment_centrosome	compartment_basal_body	compartment_transition_zone	compartment_stereocilia	in_cilia_compendium	in_centrosome_compendium	animal_model_score	literature_score	evidence_count	available_weight	weighted_sum	composite_score	quality_flag	gnomad_contribution	expression_contribution	annotation_contribution	localization_contribution	animal_model_contribution	literature_contribution	has_direct_localization_signal	has_cilia_signal	has_cilia_signal_semantics_version	confidence_tier	supporting_layers	evidence_gaps
ENSG00000285329	ENSG00000285329		0.8287477500642838					false	false	false	false	false	false	false			1	0.20	0.16574955001285677	0.8287477500642838	sparse_evidence		0.16574955001285677					false	false	v2: positive aggregate localization or positive animal-model signal	LOW	expression	gnomad,annotation,localization,animal_model,literature
ENSG00000267127	ENSG00000267127		0.815203518572139	0.7917082167953114	0.7917082167953114			false	false	false	false	false	false	false			1	0.20	0.1630407037144278	0.815203518572139	sparse_evidence		0.1630407037144278					false	false	v2: positive aggregate localization or positive animal-model signal	LOW	expression	gnomad,annotation,localization,animal_model,literature
ENSG00000272162	ENSG00000272162		0.8127539213165338					false	false	false	false	false	false	false			1	0.20	0.16255078426330677	0.8127539213165338	sparse_evidence		0.16255078426330677					false	false	v2: positive aggregate localization or positive animal-model signal	LOW	expression	gnomad,annotation,localization,animal_model,literature
ENSG00000197102	DYNC1H1	0.9657988769780499	0.7747582373638383	0.6164574859577765	0.6164574859577765	0.844709118981817	1.0	false	true	false	false	false	false	false	0.17048086602676976	0.9980716109866056	6	1.00	0.8001006622676565	0.8001006622676565	sufficient_evidence	0.19315977539561	0.15495164747276768	0.12670636784727254	0.15	0.025572129904015462	0.14971074164799084	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	gnomad,expression,annotation,localization,animal_model,literature	""
ENSG00000112715	VEGFA	0.9509954058192954	0.6576946909267569	0.7667972812037065	0.7667972812037065	0.9550995329384255		false	false	false	false	false	false	false	0.42754186862697013	0.9961953405951947	5	0.85	0.678563530673299	0.7983100360862342	sufficient_evidence	0.19019908116385909	0.1315389381853514	0.1432649299407638		0.06413128029404552	0.14942930108927918	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	gnomad,expression,annotation,animal_model,literature	localization
ENSG00000162738	VANGL2	0.8024502297090352	0.7780728185890711	0.6604784870957147	0.6604784870957147	0.813507510149206		false	false	false	false	false	false	false	0.6398086630456119	0.9393860426330328	5	0.85	0.6750099420337989	0.7941293435691752	sufficient_evidence	0.16049004594180705	0.15561456371781424	0.12202612652238089		0.09597129945684178	0.14090790639495493	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	gnomad,expression,annotation,animal_model,literature	localization
ENSG00000144635	DYNC1LI1	0.8356304236855538	0.6691503483495775	0.4569414095504472	0.4569414095504472	0.8224201603463086	1.0	false	true	false	false	false	false	false	0.4467999638758269	0.9900974618231094	6	1.00	0.789853792313813	0.789853792313813	sufficient_evidence	0.16712608473711077	0.1338300696699155	0.12336302405194628	0.15	0.06701999458137403	0.1485146192734664	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	gnomad,expression,annotation,localization,animal_model,literature	""
ENSG00000163399	ATP1A1	0.9367023991832567	0.850309156166065	0.6651528985855479	0.6651528985855479	0.8887318268552236		false	false	false	false	false	false	false	0.2250167460284938	0.9735237400323136	5	0.85	0.670493158007269	0.7888154800085518	sufficient_evidence	0.18734047983665136	0.170061831233213	0.13330977402828353		0.03375251190427407	0.14602856100484704	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	gnomad,expression,annotation,animal_model,literature	localization
ENSG00000255872	ENSG00000255872		0.7857032656209822					false	false	false	false	false	false	false			1	0.20	0.15714065312419645	0.7857032656209822	sparse_evidence		0.15714065312419645					false	false	v2: positive aggregate localization or positive animal-model signal	LOW	expression	gnomad,annotation,localization,animal_model,literature
ENSG00000143153	ATP1B1	0.9234303215926493	0.8335911929456024	0.7086051637130683	0.7086051637130683	0.8925912226494417		false	false	false	false	false	false	false	0.33509997290687016	0.8805180591025173	5	0.85	0.6676356911064747	0.7854537542429114	sufficient_evidence	0.18468606431852985	0.1667182385891205	0.13388868339741625		0.050264995936030524	0.1320777088653776	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	gnomad,expression,annotation,animal_model,literature	localization
ENSG00000157087	ATP2B2	0.9545686574783052	0.9827532030392393	0.986273164306482	0.986273164306482	0.847925120325022		false	false	false	false	false	false	false	0.06382856626797527	0.9553864595820086	5	0.85	0.6675353940297599	0.7853357576820705	sufficient_evidence	0.19091373149566104	0.19655064060784788	0.1271887680487533		0.00957428494019629	0.1433079689373013	false	true	v2: positive aggregate localization or positive animal-model signal	MEDIUM	gnomad,expression,annotation,animal_model,literature	localization
ENSG00000241962	ENSG00000241962		0.782672065687973	0.587507708292856	0.587507708292856			false	false	false	false	false	false	false			1	0.20	0.1565344131375946	0.782672065687973	sparse_evidence		0.1565344131375946					false	false	v2: positive aggregate localization or positive animal-model signal	LOW	expression	gnomad,annotation,localization,animal_model,literature
ENSG00000008710	PKD1	0.8361408882082694	0.946239964311923	0.9099566000796965	0.9099566000796965	0.9057048564066619		false	false	false	false	false	false	false	0.12374583770813354	1.0	5	0.85	0.6608937746212578	0.777522087789715	sufficient_evidence	0.16722817764165387	0.1892479928623846	0.13585572846099928		0.018561875656220028	0.15	false	true	v2: positive aggregate localization or positive animal-model signal	MEDIUM	gnomad,expression,annotation,animal_model,literature	localization
ENSG00000162992	NEUROD1	0.6687085247575293	0.9920721062241582	0.9980641611199301	0.9980641611199301	0.8713091737747001		false	false	false	false	false	false	false	0.43639964424617345	0.8365560014593214	5	0.85	0.6537958491183666	0.7691715871980784	sufficient_evidence	0.13374170495150586	0.19841442124483166	0.13069637606620502		0.06545994663692602	0.1254834002188982	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	gnomad,expression,annotation,animal_model,literature	localization
